station_complex_id,station,borough,latitude,longitude,station_id_numeric
1,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,0
10,"49 St (N,R,W)",Manhattan,40.7599,-73.98414,1
100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,2
101,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,3
103,"Bowery (J,Z)",Manhattan,40.72028,-73.99391,4
107,"Broad St (J,Z)",Manhattan,40.706474,-74.011055,5
108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,6
109,Fresh Pond Rd (M),Queens,40.706184,-73.895874,7
110,Forest Av (M),Queens,40.704422,-73.903076,8
111,Seneca Av (M),Queens,40.702763,-73.90774,9
113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,10
114,Central Av (M),Brooklyn,40.697857,-73.9274,11
118,3 Av (L),Manhattan,40.73285,-73.98612,12
119,1 Av (L),Manhattan,40.730953,-73.98163,13
120,Bedford Av (L),Brooklyn,40.717304,-73.95687,14
122,Graham Av (L),Brooklyn,40.714565,-73.94405,15
123,Grand St (L),Brooklyn,40.711926,-73.94067,16
124,Montrose Av (L),Brooklyn,40.70774,-73.93985,17
125,Morgan Av (L),Brooklyn,40.706154,-73.93314,18
126,Jefferson St (L),Brooklyn,40.706608,-73.92291,19
127,DeKalb Av (L),Brooklyn,40.70381,-73.91843,20
129,Halsey St (L),Queens,40.695602,-73.90408,21
13,"28 St (R,W)",Manhattan,40.745495,-73.98869,22
130,Wilson Av (L),Brooklyn,40.688763,-73.904045,23
131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525,24
133,Atlantic Av (L),Brooklyn,40.675346,-73.9031,25
134,Sutter Av (L),Brooklyn,40.66937,-73.90198,26
135,Livonia Av (L),Brooklyn,40.66404,-73.90057,27
136,New Lots Av (L),Brooklyn,40.658733,-73.89923,28
137,East 105 St (L),Brooklyn,40.650574,-73.89948,29
138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646652,-73.90185,30
14,"23 St (R,W)",Manhattan,40.741302,-73.98934,31
141,Park Pl (S),Brooklyn,40.67477,-73.95763,32
143,Inwood-207 St (A),Manhattan,40.868073,-73.9199,33
144,Dyckman St (A),Manhattan,40.86549,-73.92727,34
145,190 St (A),Manhattan,40.85902,-73.93418,35
146,181 St (A),Manhattan,40.851696,-73.937965,36
147,175 St (A),Manhattan,40.84739,-73.939705,37
149,163 St-Amsterdam Av (C),Manhattan,40.836014,-73.939896,38
150,155 St (C),Manhattan,40.830517,-73.94151,39
151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944214,40
152,"135 St (C,B)",Manhattan,40.817894,-73.94765,41
153,"125 St (A,C,B,D)",Manhattan,40.811108,-73.95235,42
154,"116 St (C,B)",Manhattan,40.805084,-73.95488,43
155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800602,-73.95816,44
156,"103 St (C,B)",Manhattan,40.796093,-73.96146,45
157,"96 St (C,B)",Manhattan,40.79164,-73.9647,46
158,"86 St (C,B)",Manhattan,40.78587,-73.96892,47
159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972145,48
16,"8 St-NYU (R,W)",Manhattan,40.730328,-73.99263,49
160,"72 St (C,B)",Manhattan,40.775593,-73.97641,50
162,"50 St (C,E)",Manhattan,40.762455,-73.985985,51
164,"34 St-Penn Station (A,C,E)",Manhattan,40.75229,-73.99339,52
165,"23 St (C,E)",Manhattan,40.745907,-73.99804,53
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000496,54
168,"Spring St (C,E)",Manhattan,40.726227,-74.00374,55
169,"Canal St (A,C,E)",Manhattan,40.720825,-74.005226,56
17,"Prince St (R,W)",Manhattan,40.72433,-73.9977,57
173,"High St (A,C)",Brooklyn,40.699337,-73.99053,58
175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985,59
176,Lafayette Av (C),Brooklyn,40.68611,-73.973946,60
177,Clinton-Washington Avs (C),Brooklyn,40.68326,-73.965836,61
179,"Nostrand Av (A,C)",Brooklyn,40.68044,-73.950424,62
180,Kingston-Throop Avs (C),Brooklyn,40.67992,-73.94086,63
181,"Utica Av (A,C)",Brooklyn,40.679363,-73.93073,64
182,Ralph Av (C),Brooklyn,40.67882,-73.920784,65
183,Rockaway Av (C),Brooklyn,40.67834,-73.91195,66
185,Liberty Av (C),Brooklyn,40.67454,-73.896545,67
186,Van Siclen Av (C),Brooklyn,40.67271,-73.89036,68
187,Shepherd Av (C),Brooklyn,40.67413,-73.88075,69
188,"Euclid Av (A,C)",Brooklyn,40.675377,-73.87211,70
189,Grant Av (A),Brooklyn,40.677044,-73.86505,71
190,80 St (A),Queens,40.67937,-73.85899,72
191,88 St (A),Queens,40.679844,-73.85147,73
192,Rockaway Blvd (A),Queens,40.680428,-73.84386,74
193,104 St (A),Queens,40.68171,-73.837685,75
194,111 St (A),Queens,40.68433,-73.83216,76
195,Ozone Park-Lefferts Blvd (A),Queens,40.68595,-73.8258,77
196,Aqueduct Racetrack (A),Queens,40.672096,-73.83592,78
197,Aqueduct-N Conduit Av (A),Queens,40.668236,-73.83406,79
198,Howard Beach-JFK Airport (A),Queens,40.660477,-73.8303,80
199,"Broad Channel (A,S)",Queens,40.608383,-73.815926,81
2,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785,82
20,"City Hall (R,W)",Manhattan,40.713284,-74.00698,83
200,"Beach 90 St (A,S)",Queens,40.588036,-73.813644,84
201,"Beach 98 St (A,S)",Queens,40.585308,-73.82056,85
202,"Beach 105 St (A,S)",Queens,40.58321,-73.82756,86
203,"Rockaway Park-Beach 116 St (A,S)",Queens,40.580902,-73.835594,87
204,Beach 67 St (A),Queens,40.590927,-73.79692,88
205,Beach 60 St (A),Queens,40.592373,-73.78852,89
206,Beach 44 St (A),Queens,40.59294,-73.77602,90
207,Beach 36 St (A),Queens,40.595398,-73.76817,91
208,Beach 25 St (A),Queens,40.600067,-73.76135,92
209,Far Rockaway-Mott Av (A),Queens,40.603996,-73.7554,93
210,Norwood-205 St (D),Bronx,40.87481,-73.87885,94
211,"Bedford Park Blvd (B,D)",Bronx,40.873245,-73.88714,95
212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.89351,96
213,"Fordham Rd (B,D)",Bronx,40.861298,-73.89775,97
214,"182-183 Sts (B,D)",Bronx,40.856094,-73.90074,98
215,"Tremont Av (B,D)",Bronx,40.85041,-73.90523,99
216,"174-175 Sts (B,D)",Bronx,40.8459,-73.91013,100
217,"170 St (B,D)",Bronx,40.839306,-73.9134,101
218,"167 St (B,D)",Bronx,40.83377,-73.91844,102
22,"Rector St (R,W)",Manhattan,40.70722,-74.01334,103
220,"155 St (B,D)",Manhattan,40.830135,-73.93821,104
221,21 St-Queensbridge (F),Queens,40.754204,-73.94283,105
222,Roosevelt Island (F),Manhattan,40.759144,-73.95326,106
223,"Lexington Av/63 St (F,Q)",Manhattan,40.76463,-73.96611,107
224,57 St (F),Manhattan,40.763973,-73.97745,108
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,40.758663,-73.98133,109
228,"23 St (F,M)",Manhattan,40.742878,-73.99282,110
231,"Grand St (B,D)",Manhattan,40.718266,-73.99375,111
232,2 Av (F),Manhattan,40.7234,-73.98994,112
234,East Broadway (F),Manhattan,40.713715,-73.99017,113
235,York St (F),Brooklyn,40.701397,-73.98675,114
236,"Bergen St (F,G)",Brooklyn,40.686146,-73.99086,115
237,"Carroll St (F,G)",Brooklyn,40.6803,-73.99505,116
238,"Smith-9 Sts (F,G)",Brooklyn,40.67358,-73.99596,117
240,"7 Av (F,G)",Brooklyn,40.66627,-73.98031,118
241,"15 St-Prospect Park (F,G)",Brooklyn,40.660366,-73.97949,119
242,"Fort Hamilton Pkwy (F,G)",Brooklyn,40.650784,-73.97578,120
243,"Church Av (F,G)",Brooklyn,40.64404,-73.979675,121
244,Ditmas Av (F),Brooklyn,40.63612,-73.97817,122
245,18 Av (F),Brooklyn,40.629753,-73.976974,123
246,Avenue I (F),Brooklyn,40.62532,-73.97613,124
247,Bay Pkwy (F),Brooklyn,40.62077,-73.975266,125
248,Avenue N (F),Brooklyn,40.61514,-73.9742,126
249,Avenue P (F),Brooklyn,40.608944,-73.97302,127
250,Kings Hwy (F),Brooklyn,40.603218,-73.97236,128
251,Avenue U (F),Brooklyn,40.59606,-73.97336,129
252,Avenue X (F),Brooklyn,40.58962,-73.97425,130
253,Neptune Av (F),Brooklyn,40.581013,-73.97457,131
254,Jamaica-179 St (F),Queens,40.712646,-73.78381,132
255,169 St (F),Queens,40.71047,-73.7936,133
256,Parsons Blvd (F),Queens,40.707565,-73.80333,134
257,Sutphin Blvd (F),Queens,40.70546,-73.81071,135
258,"Briarwood (E,F)",Queens,40.70918,-73.82057,136
259,"Kew Gardens-Union Tpke (E,F)",Queens,40.71444,-73.83101,137
26,"DeKalb Av (B,Q,R)",Brooklyn,40.690636,-73.98183,138
260,"75 Av (E,F)",Queens,40.71833,-73.837326,139
261,"Forest Hills-71 Av (E,F,M,R)",Queens,40.72169,-73.84452,140
262,"67 Av (M,R)",Queens,40.726524,-73.85272,141
263,"63 Dr-Rego Park (M,R)",Queens,40.729847,-73.8616,142
264,"Woodhaven Blvd (M,R)",Queens,40.733105,-73.86923,143
265,"Grand Av-Newtown (M,R)",Queens,40.737015,-73.87722,144
266,"Elmhurst Av (M,R)",Queens,40.742455,-73.88202,145
268,"65 St (M,R)",Queens,40.74967,-73.89845,146
269,"Northern Blvd (M,R)",Queens,40.752884,-73.906006,147
270,"46 St (M,R)",Queens,40.756313,-73.91333,148
271,"Steinway St (M,R)",Queens,40.756878,-73.92074,149
272,"36 St (M,R)",Queens,40.75204,-73.92878,150
273,"Queens Plaza (E,M,R)",Queens,40.748974,-73.93724,151
276,"5 Av/53 St (E,M)",Manhattan,40.760166,-73.97523,152
277,"7 Av (E,B,D)",Manhattan,40.762863,-73.981636,153
278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,40.70215,-73.80111,154
279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,40.700485,-73.80797,155
28,Union St (R),Brooklyn,40.677315,-73.98311,156
280,Jamaica-Van Wyck (E),Queens,40.702564,-73.81686,157
282,21 St (G),Queens,40.744064,-73.94972,158
283,Greenpoint Av (G),Brooklyn,40.731354,-73.95445,159
284,Nassau Av (G),Brooklyn,40.724636,-73.95128,160
286,Broadway (G),Brooklyn,40.706093,-73.95031,161
